Date,Description,Amount,Extended Details,Doing Business As,Parent Company,Street Address,"City, State Zip",Reference,Category
1/16/17,"AMAZON.COM - AMZN.COM/BILL, WA",98.6," Additional Information: MERCHANDISE 
 ",AMAZON.COM,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.2017E+17,Merchandise & Supplies-Internet Purchase
1/16/17,"CITATION PROCESSING CENTER - (949)752-6937, CA",93.5," Additional Information: 9497526937 
 ",CITATION PROCESSING CENTER,,"4600 CAMPUS DR
STE 200
NEWPORT BEACH
CA","92660-1888
UNITED STATES",3.2017E+17,Other-Government Services
1/16/17,"SUBWAY 521273 25505521273 - MENLO PARK, CA",8.32," Additional Information: 650-3211599 
 ",Subway,,"850 WILLOW RD
MENLO PARK
CA","94025
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
1/17/17,"Fry's Electronics Inc. - Palo Al - Palo Alto, CA",37.91," Additional Information: Fry's Electronics Inc. - 
 ",FRY'S ELECTRONICS,,"340 PORTAGE AVE
PALO ALTO
CA","94306
UNITED STATES",3.2017E+17,Merchandise & Supplies-Electronics Stores
1/17/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",6," Additional Information: 6507234500 
  TIP  $1.44 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
1/19/17,"HLU*HULU 86911116-U - HULU.COM/BILL, CA",11.99," Additional Information: HULU.COM/BILL 
  HULUPLUS NU 86911116 
 ",HULU,,"2500 BROADWAY
SANTA MONICA
CA","90404-3065
UNITED STATES",3.2017E+17,Communications-Cable & Internet Comm
1/19/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",12," Additional Information: 6507234500 
  TIP  $1.80 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
1/20/17,"TACO BELL #28837 0000 - PALO ALTO, CA",10.3," Additional Information: 650-325-8226 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"1701 E BAYSHORE RD
PALO ALTO
CA","94303-2523
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
1/22/17,"AMAZON.COM - AMZN.COM/BILL, WA",118.27," Additional Information: MERCHANDISE 
 ",AMAZON.COM,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.2017E+17,Merchandise & Supplies-Internet Purchase
1/23/17,"Fry's Electronics Inc. - Palo Al - Palo Alto, CA",31.83," Additional Information: Fry's Electronics Inc. - 
 ",FRY'S ELECTRONICS,,"340 PORTAGE AVE
PALO ALTO
CA","94306
UNITED STATES",3.2017E+17,Merchandise & Supplies-Electronics Stores
1/23/17,"SAFEWAY FOOD STORE - MENLO PARK, CA",86.25," Additional Information: GROCERY STORE 
 ",SAFEWAY FOOD STORE,,"525 EL CAMINO REAL
MENLO PARK
CA","94025-5108
UNITED STATES",3.2017E+17,Merchandise & Supplies-Groceries
1/23/17,"TACO BELL #28837 0000 - PALO ALTO, CA",9.22," Additional Information: 650-325-8226 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"1701 E BAYSHORE RD
PALO ALTO
CA","94303-2523
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
1/24/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",7.96," Additional Information: 6507234500 
  TIP  $1.00 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
1/26/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",8," Additional Information: 6507234500 
  TIP  $0.95 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
1/27/17,"PATXI'S PIZZA-PALO ALTO 0002 - PALO ALTO, CA",15.2," Additional Information: 415-795-4210 
  Description 
  FOOD/BEVERAGE 
 ",PATXI'S CHICAGO PIZZA,,"441 EMERSON ST
PALO ALTO
CA","94301-1605
UNITED STATES",3.2017E+17,Restaurant-Restaurant
1/28/17,"NETFLIX.COM - 866-579-7172, CA",9.99," Additional Information: SUBSCRIPTION 
 ",NETFLIX.COM  866-579-7172,,"100 WINCHESTER CIR
LOS GATOS
CA","95032
UNITED STATES",3.2017E+17,Entertainment-Other Entertainment
1/29/17,"FACEBK *NETWORKFORGOOD - DONATE.FB.COM, CA",100," Additional Information: FACEBOOK PAYMENTS 
 ",FACEBOOK PAYMENTS,,"1601 WILLOW RD
BLDG 10
MENLO PARK
CA","94025-1453
UNITED STATES",3.2017E+17,Merchandise & Supplies-Internet Purchase
1/29/17,"TAQUERIA LA CAZUELA 0000 - EAST PALO ALT, CA",10.49," Additional Information: 650-289-0727 
  Description 
  FAST FOOD RESTAURAN 
 ",TAQUERIA LA CASUELA,,"2390 CLARKE AVE
EAST PALO ALTO
CA","94303-1633
UNITED STATES OF AMERICA (THE)",3.2017E+17,Restaurant-Bar & Café
1/30/17,"AMAZON MKTPLACE PMTS - AMZN.COM/BILL, WA",19.48," Additional Information: BOOK STORES 
 ",Amazon Marketplace,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.2017E+17,Merchandise & Supplies-Internet Purchase
1/30/17,"Fry's Electronics Inc. - Palo Al - Palo Alto, CA",46.16," Additional Information: Fry's Electronics Inc. - 
 ",FRY'S ELECTRONICS,,"340 PORTAGE AVE
PALO ALTO
CA","94306
UNITED STATES",3.2017E+17,Merchandise & Supplies-Electronics Stores
1/30/17,PAYMENT RECEIVED - THANK YOU,-917.11,,,,,,3.2017E+17,
1/30/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",9," Additional Information: 6507234500 
  TIP  $1.46 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
1/30/17,"ZAREEN'S RESTAURANT - PALO ALTO LOCATI - Palo Alto, CA",14.07," Additional Information: squareup.com/receipts 
 ",ZAREEN'S RESTAURANT - PALO ALTO LOCATI,,"365 CALIFORNIA AVE,
PALO ALTO
CA","94036
UNITED STATES OF AMERICA (THE)",3.2017E+17,Business Services-Other Services
1/31/17,"TACO BELL #28837 0000 - PALO ALTO, CA",25.48," Additional Information: 650-325-8226 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"1701 E BAYSHORE RD
PALO ALTO
CA","94303-2523
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/1/17,"MEDITERRANEAN WRAPS - PALO ALTO, CA",10," Additional Information: 8000000000 
  TIP  $1.30 
 ",MEDITERRANEAN WRAPS,,"433 S CALIFORNIA AVE
PALO ALTO
CA","94306-1832
UNITED STATES",3.2017E+17,Restaurant-Restaurant
2/2/17,"BYTES CAFE 0026 - STANFORD, CA",9.65," Additional Information: 415-298-8558 
  Description 
  EATING PLACES, REST 
 ",BYTES CAFE,,"350 SERRA MALL
PALO ALTO
CA","94305-4020
UNITED STATES OF AMERICA (THE)",3.2017E+17,Restaurant-Restaurant
2/2/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",10," Additional Information: 6507234500 
  TIP  $1.37 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/3/17,"GREAT AMER BAGEL T1 B14 ORD - CHICAGO, IL",10.67," Additional Information: 773-6866180 
  FOOD  $10.67 
 ",GREAT AMER BAGEL T1 B14 ORD,,"10000 WEST O'HARE WAY
CHICAGO
IL","60666
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/5/17,"GREAT AMER BAGEL T1 B14 ORD - CHICAGO, IL",17.67," Additional Information: 773-6866180 
  FOOD  $17.67 
 ",GREAT AMER BAGEL T1 B14 ORD,,"10000 WEST O'HARE WAY
CHICAGO
IL","60666
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/5/17,"JOES BREWERY 3TRM - CHAMPAIGN, IL",10," Additional Information: 217-384-1790 
 ",JOE'S BREWERY,,"706 S FIFTH ST
CHAMPAIGN
IL","61820
UNITED STATES",3.2017E+17,Restaurant-Restaurant
2/5/17,"TACO BELL #28837 0000 - PALO ALTO, CA",10.3," Additional Information: 650-325-8226 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"1701 E BAYSHORE RD
PALO ALTO
CA","94303-2523
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/6/17,"CHIPOTLE 1617 0091 - PALO ALTO, CA",7.76," Additional Information: FAST FOOD RESTAURANT 
  Description 
  FAST FOOD RESTAURAN 
 ",Chipotle Mexican Grill,,"180 EL CAMINO REAL
PALO ALTO
CA","94304-1428
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/6/17,"JAMECO ELECTRONICS 084870006199928 - 650-5928097, CA",79.19," Additional Information: 200634 94303 
 ",JAMECO ELECTRONICS,,"1355 SHOREWAY RD
BELMONT
CA","94002-4105
UNITED STATES",3.2017E+17,Merchandise & Supplies-Electronics Stores
2/6/17,"UNION 76 10194884 - REDWOOD CITY, CA",50.05," Additional Information: UNION 76 
 ",PHILLIPS 66-CONOCO-76 GAS,,"411 S KEELER
BARTLESVILLE
OK","74004
UNITED STATES",3.2017E+17,Transportation-Fuel
2/7/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",9," Additional Information: 6507234500 
  TIP  $1.35 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/8/17,"CENTURY THEATRES - MOUNTAIN VIEW, CA",20," Additional Information: MOVIE THEATER 
 ",CENTURY CINEMA 16,,"1500 N SHORELINE BLVD
MOUNTAIN VIEW
CA","94043-1314
UNITED STATES",3.2017E+17,Entertainment-Theatrical Events
2/8/17,"SUNNY BOWL - Mountain View, CA",16.54," Additional Information: squareup.com/receipts 
 ",SUNNY BOWL,,"1477 PLYMOUTH STREET, #D
MOUNTAIN VIEW
CA","94043
UNITED STATES OF AMERICA (THE)",3.2017E+17,Restaurant-Restaurant
2/9/17,"BYTES CAFE 0031 - STANFORD, CA",12.99," Additional Information: 415-298-8558 
  Description 
  EATING PLACES, REST 
 ",BYTES CAFE,,"350 SERRA MALL
PALO ALTO
CA","94305-4020
UNITED STATES OF AMERICA (THE)",3.2017E+17,Restaurant-Restaurant
2/10/17,"COALINGA MART 000000000948325 - COALINGA, CA",37.73," Additional Information: 5599352442 
 ",VALERO,,"9830 COLONNADE BLVD
SAN ANTONIO
TX","78230
UNITED STATES",3.2017E+17,Transportation-Fuel
2/10/17,DELTA AIR LINES - ATLANTA,895.16," Additional Information: DELTA AIR LINES 
  From:  To:  Carrier:  Class: 
  DETROIT WAYNE COUN  ATLANTA HARTSFIELD  DL  V 
     LIMA  DL  V 
     BOGOTA  DL  00 
     ATLANTA HARTSFIELD  DL  V 
  Ticket Number: 00623729621001  Date of Departure: 07/03 
  Passenger Name: PRASAD/VIKRAM SHANKAR 
  Document Type: PASSENGER TICKET 
 ",DELTA AIR LINES DELTA.COM,,"ATLANTA AIRPORT
-
ATLANTA
GA","30344
UNITED STATES",3.2017E+17,Travel-Airline
2/10/17,"TACO BELL - COALINGA, CA",8.17," Additional Information: 559-935-1177 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"25101 W DORRIS AVE
COALINGA
CA","93210
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/10/17,"TACO BELL #28837 0000 - PALO ALTO, CA",9.21," Additional Information: 650-325-8226 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"1701 E BAYSHORE RD
PALO ALTO
CA","94303-2523
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/10/17,"TRAVEL INSURANCE POLICY - RICHMOND, VA",67.14," Additional Information: 800-729-6021 
  Description 
  INSURANCE BROKERS/U 
 ",AllianzTravelInsurance.com866-884-3556,,"2805 N PARHAM RD
STE 100
RICHMOND
VA","23294
UNITED STATES",3.2017E+17,Business Services-Insurance Services
2/10/17,"WWW.ITUNES.COM/BILL - CUPERTINO, CA",2.11," Additional Information: ITUNES STORE & APP STORE 
 ",WWW.ITUNES.COM/BILL,,"12545 RIATA VISTA CIRCLE
AUSTIN
TX","78727-5205
UNITED STATES",3.2017E+17,Merchandise & Supplies-Internet Purchase
2/11/17,"CHIPOTLE 0204 0088 - HAWTHORNE, CA",21.86," Additional Information: 310-297-0850 
  Description 
  FAST FOOD RESTAURAN 
 ",Chipotle Mexican Grill,,"5330 W ROSECRANS AVE
HAWTHORNE
CA","90250-6646
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/12/17,"SHELL OIL 57441712502 - KETTLEMAN CTY, CA",54.57," Additional Information: AUTO FUEL DISPENSER 
 ",SHELL,,"12700 NORTHBOROUGH
ATTN: TEXACO CHARGEBACKS
HOUSTON
TX","77067
UNITED STATES",3.2017E+17,Transportation-Fuel
2/12/17,"TACO BELL - KETTLEMAN CITY, CA",8.12," Additional Information: 559-386-4314 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"27494 DANA CIRCLE
KETTLEMAN CITY
CA","93239
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/13/17,"PIZZA HUT - MENLO PARK, CA",22," Additional Information: 650-368-8700 
  Description 
  FAST FOOD RESTAURAN 
 ",Pizza Hut,,"3415 MIDDLEFIELD RD
MENLO PARK
CA","94025
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/15/17,SPOTIFY USA - NEW YORK,9.99," Additional Information: BUSINESS SERVICE 
 ",SPOTIFY.,,"SIMON CARMIGGELSTRAAT 6-50
AMSTERDAM","1011 DJ
NETHERLANDS (THE)",3.2017E+17,Merchandise & Supplies-Internet Purchase
2/15/17,"TACO BELL #28837 0000 - PALO ALTO, CA",7.05," Additional Information: 650-325-8226 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"1701 E BAYSHORE RD
PALO ALTO
CA","94303-2523
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/16/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",8.65," Additional Information: 6507234500 
  TIP  $1.00 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/17/17,"TACO BELL #28837 0000 - PALO ALTO, CA",10.62," Additional Information: 650-325-8226 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"1701 E BAYSHORE RD
PALO ALTO
CA","94303-2523
UNITED STATES",3.2017E+17,Restaurant-Bar & Café
2/18/17,"GOLFLAND USA - SUNNYVALE, CA",35.97," Additional Information: AMUSEMENT PARK 
 ",GOLFLAND USA,,"855 E EL CAMINO REAL
SUNNYVALE
CA","94087-2937
UNITED STATES",3.20171E+17,Entertainment-Theme Parks
2/19/17,"HLU*HULU 86911116-U - HULU.COM/BILL, CA",11.99," Additional Information: HULU.COM/BILL 
  HULUPLUS NU 86911116 
 ",HULU,,"2500 BROADWAY
SANTA MONICA
CA","90404-3065
UNITED STATES",3.20171E+17,Communications-Cable & Internet Comm
2/19/17,"SAFEWAY FOOD STORE - MENLO PARK, CA",207.99," Additional Information: GROCERY STORE 
 ",SAFEWAY FOOD STORE,,"525 EL CAMINO REAL
MENLO PARK
CA","94025-5108
UNITED STATES",3.20171E+17,Merchandise & Supplies-Groceries
2/21/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",6.5," Additional Information: 6507234500 
  TIP  $1.02 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.20171E+17,Restaurant-Bar & Café
2/22/17,"HAPPY DONUTS 00-08029321810 - PALO ALTO, CA",15," Additional Information: RESTAURANT 
 ",HAPPY DONUTS,,"3916 EL CAMINO REAL
PALO ALTO
CA","94306-3318
UNITED STATES",3.20171E+17,Restaurant-Restaurant
2/22/17,"SHELL OIL 57444214001 - PALO ALTO, CA",50.31," Additional Information: AUTO FUEL DISPENSER 
 ",SHELL,,"12700 NORTHBOROUGH
ATTN: TEXACO CHARGEBACKS
HOUSTON
TX","77067
UNITED STATES",3.20171E+17,Transportation-Fuel
2/23/17,"BYTES CAFE 0031 - STANFORD, CA",9.65," Additional Information: 415-298-8558 
  Description 
  EATING PLACES, REST 
 ",BYTES CAFE,,"350 SERRA MALL
PALO ALTO
CA","94305-4020
UNITED STATES OF AMERICA (THE)",3.20171E+17,Restaurant-Restaurant
2/23/17,"WWW.ITUNES.COM/BILL - CUPERTINO, CA",3.99," Additional Information: ITUNES STORE & APP STORE 
 ",WWW.ITUNES.COM/BILL,,"12545 RIATA VISTA CIRCLE
AUSTIN
TX","78727-5205
UNITED STATES",3.20171E+17,Merchandise & Supplies-Internet Purchase
2/24/17,DELTA AIR LINES - ATLANTA,306," Additional Information: DELTA AIR LINES 
  From:  To:  Carrier:  Class: 
  N/A  N/A  YY  00 
     N/A  YY  00 
     N/A  YY  00 
     N/A  YY  00 
  Ticket Number: 0062372962100 
  Passenger Name: PRASAD/VIKRAM SHANKAR 
  Document Type: ADDITIONAL COLLECTION 
 ",DELTA AIR LINES DELTA.COM,,"ATLANTA AIRPORT
-
ATLANTA
GA","30344
UNITED STATES",3.20171E+17,Travel-Airline
2/24/17,"SUBWAY 675769 25500675769 - STANFORD, CA",8.45," Additional Information: 650-2899009 
 ",Subway,,"459 LAGUNITA DR, STE 5
STANFORD
CA","94305-8213
UNITED STATES",3.20171E+17,Restaurant-Bar & Café
2/24/17,"TACO BELL #28837 0000 - PALO ALTO, CA",10.3," Additional Information: 650-325-8226 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"1701 E BAYSHORE RD
PALO ALTO
CA","94303-2523
UNITED STATES",3.20171E+17,Restaurant-Bar & Café
2/25/17,DELTA AIR LINES - ATLANTA,-306," Additional Information: DELTA AIR LINES 
  From:  To:  Carrier:  Class: 
  N/A  N/A  YY  00 
     N/A  YY  00 
     N/A  YY  00 
     N/A  YY  00 
  Ticket Number: 0062373730872 
  Passenger Name: PRASAD/VIKRAM SHANKAR 
  Document Type: MISC. CHARGE ORDER (MCO)/PREPAID TICKET AUTH. 
 ",DELTA AIR LINES DELTA.COM,,"ATLANTA AIRPORT
-
ATLANTA
GA","30344
UNITED STATES",3.20171E+17,Travel-Airline
2/25/17,DELTA AIR LINES - ATLANTA,916.9," Additional Information: DELTA AIR LINES 
  From:  To:  Carrier:  Class: 
  DETROIT WAYNE COUN  ATLANTA HARTSFIELD  DL  V 
     LIMA  DL  V 
     ATLANTA HARTSFIELD  DL  V 
     DETROIT WAYNE COUN  DL  V 
  Ticket Number: 00623730874826  Date of Departure: 07/03 
  Passenger Name: PRASAD/VIKRAM SHANKAR 
  Document Type: PASSENGER TICKET 
 ",DELTA AIR LINES DELTA.COM,,"ATLANTA AIRPORT
-
ATLANTA
GA","30344
UNITED STATES",3.20171E+17,Travel-Airline
2/27/17,"BYTES CAFE 0031 - STANFORD, CA",7.15," Additional Information: 415-298-8558 
  Description 
  EATING PLACES, REST 
 ",BYTES CAFE,,"350 SERRA MALL
PALO ALTO
CA","94305-4020
UNITED STATES OF AMERICA (THE)",3.20171E+17,Restaurant-Restaurant
2/27/17,ONLINE PAYMENT - THANK YOU,"-2,035.92",,,,,,3.20171E+17,
2/28/17,"NETFLIX.COM - 866-579-7172, CA",9.99," Additional Information: NETFLIX.COM 
 ",NETFLIX.COM  866-579-7172,,"100 WINCHESTER CIR
LOS GATOS
CA","95032
UNITED STATES",3.20171E+17,Entertainment-Other Entertainment
2/28/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",8," Additional Information: 6507234500 
  TIP  $0.89 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.20171E+17,Restaurant-Bar & Café
3/1/17,"TACO BELL #28837 0000 - PALO ALTO, CA",10.3," Additional Information: 650-325-8226 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"1701 E BAYSHORE RD
PALO ALTO
CA","94303-2523
UNITED STATES",3.20171E+17,Restaurant-Bar & Café
3/1/17,"THE TREEHOUSE 650000000922487 - STANFORD, CA",8.19," Additional Information: 6507234500 
 ",THE TREEHOUSE,,"459 LAGUNITA DR
STANFORD
CA","94305
UNITED STATES",3.20171E+17,Restaurant-Bar & Café
3/2/17,"BYTES CAFE 0031 - STANFORD, CA",9.65," Additional Information: 415-298-8558 
  Description 
  EATING PLACES, REST 
 ",BYTES CAFE,,"350 SERRA MALL
PALO ALTO
CA","94305-4020
UNITED STATES OF AMERICA (THE)",3.20171E+17,Restaurant-Restaurant
3/3/17,"BART MILLBRAE STATION - MILLBRAE, CA",4.4," Additional Information: 510-464-6474 
  Description 
  OTHER TRANSPORTATIO 
 ",BART MILLBRAE STATION,,"200 NORTH ROLLINS ROAD
MILLBRAE
CA","94030
UNITED STATES",3.20171E+17,Transportation-Rail Services
3/3/17,"HUDSONNEWS ST1453 0000 - SOUTH SAN FRA, CA",5.99," Additional Information: 800-326-7711 
  Description 
  NEWS DEALERS/NEWSST 
 ",HUDSON NEWS,,"SF INT.AIRPORT,TERMINAL1
BRDNG AR.C,100 UPP INT LP
SAN FRANCISCO
CA","94128
UNITED STATES",3.20171E+17,Merchandise & Supplies-Book Stores
3/3/17,"SUBWAY 675769 25500675769 - STANFORD, CA",9.92," Additional Information: 650-2899009 
 ",Subway,,"459 LAGUNITA DR, STE 5
STANFORD
CA","94305-8213
UNITED STATES",3.20171E+17,Restaurant-Bar & Café
3/4/17,"EINSTEIN BROS BAGELS - DALLAS, TX",8.94," Additional Information: FAST FOOD RESTAURANT 
  Description 
  FOOD/BEVERAGE 
 ",Einstein Bros Bagels,,"6109 BERKSHIRE LN
DALLAS
TX","75225
UNITED STATES",3.20171E+17,Restaurant-Bar & Café
3/4/17,"LYFT *RIDE FRI 11PM - SAN FRANCISCO, CA",28.81," Additional Information: 8552800278 
 ",LYFT.COM,,"548 MARKET ST
SAN FRANCISCO
CA","94104
UNITED STATES",3.20171E+17,Transportation-Taxis & Coach
3/5/17,"EINSTEINS PIZZA HUT DFW 00-08030704103 - DALLAS, TX",9.14," Additional Information: FAST FOOD RESTAURANT 
 ",Pizza Hut,,"3200 EAST AIRFIELD DRIVE
DALLAS
TX","75261
UNITED STATES",3.20171E+17,Restaurant-Bar & Café
3/5/17,"LYFT *RIDE SAT 10PM - SAN FRANCISCO, CA",6.86," Additional Information: 8552800278 
 ",LYFT.COM,,"548 MARKET ST
SAN FRANCISCO
CA","94104
UNITED STATES",3.20171E+17,Transportation-Taxis & Coach
3/5/17,"TACO BELL #28837 0000 - PALO ALTO, CA",8.13," Additional Information: 650-325-8226 
  Description 
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"1701 E BAYSHORE RD
PALO ALTO
CA","94303-2523
UNITED STATES",3.20171E+17,Restaurant-Bar & Café
3/6/17,"LYFT *RIDE SUN 5AM - SAN FRANCISCO, CA",34.26," Additional Information: 8552800278 
 ",LYFT.COM,,"548 MARKET ST
SAN FRANCISCO
CA","94104
UNITED STATES",3.20171E+17,Transportation-Taxis & Coach
3/6/17,"PIZZA HUT - MENLO PARK, CA",19," Additional Information: 650-368-8700 
  Description 
  FAST FOOD RESTAURAN 
 ",Pizza Hut,,"3415 MIDDLEFIELD RD
MENLO PARK
CA","94025
UNITED STATES",3.20171E+17,Restaurant-Bar & Café
3/7/17,"BYTES CAFE 0031 - STANFORD, CA",7.15," Additional Information: 415-298-8558 
  Description 
  EATING PLACES, REST 
 ",BYTES CAFE,,"350 SERRA MALL
PALO ALTO
CA","94305-4020
UNITED STATES OF AMERICA (THE)",3.20171E+17,Restaurant-Restaurant
